# The EDGE ratchet — every DIRECT import of src/compiler/steps/ from outside it, and how many
# distinct symbols it still takes. GENERATED FLOOR: re-recorded DOWNWARD by `mise run
# edges-record`. It may never rise, and a NEW importing file is always a failure.
# `exempt=yes` marks the two legacy ROUTERS, which keep their edges until Phase 4 deletes them.
# Phase 0 (docs/2026-08-01-relir-build-plan.md §10) is OVER when the exempt rows are the only
# rows left. See scripts/edges-check.ts.
file	floor	exempt	note
src/compiler/engine/engine.ts	78	yes	the legacy dispatcher itself — deleted whole in Phase 4
src/compiler/rel/lower.ts	8	no	bareInjectTag dies with the per-row type channel (§6·7); the rest are kernels
src/services/catalog/search.ts	6	no	propertyPayload is a kernel; PropertyStream/TraverserLayout are the object model
src/compiler/engine/deps.ts	5	no	the object model — LoweringState/Stream/TraverserLayout
src/compiler/rel/alias.ts	4	no	the alias object model — rel/ should own its own AliasEntry
src/services/catalog/directory.ts	3	no	the object model
src/services/spi/types.ts	3	no	THE UNNAMED PIN — the service SPI typed on legacy Stream/ChildFrameStack
src/compiler/rel/list.ts	2	no	kernel — LIST_LOCAL_TX/STRING_LOCAL_TX
src/compiler/rel/transform.ts	2	no	kernel — dtFactor/numericSpec
src/compiler/compiler.ts	1	yes	the routing switch (routeWrite) — Phase 1 cuts the write arm, Phase 4 the rest
src/compiler/rel/write.ts	1	no	kernel — validateLabel/validatePropertyKey; AliasMap is the object model
src/services/catalog/degree-centrality.ts	1	no	kernel — scopedMovementCount
